Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H5CH2-1+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
           20.6    5.41201e+15    4.02793e+14    7.10363e+16
           20.7    5.78061e+15    4.04662e+14    7.09372e+16
           20.8     6.1733e+15    4.06527e+14    7.08377e+16
           20.9     6.5916e+15    4.08388e+14     7.0738e+16
             21    7.03709e+15    4.10244e+14    7.06379e+16
           21.1    7.51149e+15    4.12095e+14    7.05376e+16
           21.2    8.01659e+15    4.13942e+14     7.0437e+16
           21.3    8.55429e+15    4.15785e+14    7.03362e+16
           21.4    9.12662e+15    4.17624e+14    7.02351e+16
           21.5    9.73571e+15    4.19458e+14    7.01338e+16
           21.6    1.03838e+16    4.21288e+14    7.00322e+16
           21.7    1.10734e+16    4.23113e+14    6.99304e+16
           21.8    1.18069e+16    4.24934e+14    6.98283e+16
           21.9    1.25871e+16    4.26751e+14    6.97261e+16
             22    1.34168e+16    4.28563e+14    6.96237e+16
           22.1    1.42991e+16    4.30371e+14     6.9521e+16
           22.2     1.5237e+16    4.32175e+14    6.94182e+16
           22.3    1.62341e+16    4.33974e+14    6.93152e+16
           22.4    1.72938e+16    4.35769e+14     6.9212e+16
           22.5      1.842e+16     4.3756e+14    6.91086e+16
           22.6    1.96167e+16    4.39346e+14    6.90051e+16
           22.7    2.08881e+16    4.41128e+14    6.89015e+16
           22.8    2.22386e+16    4.42906e+14    6.87976e+16
           22.9     2.3673e+16     4.4468e+14    6.86937e+16
             23    2.51964e+16    4.46449e+14    6.85896e+16
           23.1     2.6814e+16    4.48214e+14    6.84854e+16
           23.2    2.85313e+16    4.49975e+14     6.8381e+16
           23.3    3.03544e+16    4.51731e+14    6.82766e+16
           23.4    3.22895e+16    4.53483e+14     6.8172e+16
           23.5    3.43432e+16    4.55231e+14    6.80674e+16
           23.6    3.65224e+16    4.56975e+14    6.79626e+16
           23.7    3.88345e+16    4.58715e+14    6.78577e+16
           23.8    4.12874e+16     4.6045e+14    6.77528e+16
           23.9    4.38892e+16    4.62181e+14    6.76477e+16
             24    4.66487e+16    4.63908e+14    6.75426e+16
           24.1     4.9575e+16    4.65631e+14    6.74375e+16
           24.2    5.26779e+16    4.67349e+14    6.73322e+16
           24.3    5.59675e+16    4.69064e+14    6.72269e+16
           24.4    5.94546e+16    4.70774e+14    6.71215e+16
           24.5    6.31508e+16     4.7248e+14    6.70161e+16
           24.6    6.70679e+16    4.74182e+14    6.69107e+16
           24.7    7.12188e+16    4.75879e+14    6.68052e+16
           24.8    7.56167e+16    4.77573e+14    6.66996e+16
           24.9    8.02759e+16    4.79262e+14    6.65941e+16
             25    8.52113e+16    4.80947e+14    6.64885e+16
           25.1    9.04387e+16    4.82629e+14    6.63828e+16
           25.2    9.59745e+16    4.84306e+14    6.62772e+16
           25.3    1.01836e+17    4.85979e+14    6.61715e+16
           25.4    1.08043e+17    4.87648e+14    6.60659e+16
           25.5    1.14613e+17    4.89312e+14    6.59602e+16
           25.6    1.21568e+17    4.90973e+14    6.58545e+16
           25.7    1.28929e+17     4.9263e+14    6.57488e+16
           25.8    1.36719e+17    4.94282e+14    6.56431e+16
           25.9    1.44962e+17    4.95931e+14    6.55374e+16
             26    1.53683e+17    4.97575e+14    6.54318e+16
           26.1    1.62909e+17    4.99216e+14    6.53261e+16
           26.2    1.72669e+17    5.00852e+14    6.52205e+16
           26.3    1.82991e+17    5.02485e+14    6.51149e+16
           26.4    1.93907e+17    5.04113e+14    6.50093e+16
           26.5     2.0545e+17    5.05737e+14    6.49038e+16
           26.6    2.17655e+17    5.07358e+14    6.47982e+16
           26.7    2.30558e+17    5.08974e+14    6.46927e+16
           26.8    2.44197e+17    5.10587e+14    6.45873e+16
           26.9    2.58613e+17    5.12195e+14    6.44819e+16
             27    2.73848e+17      5.138e+14    6.43765e+16
           27.1    2.89948e+17    5.15401e+14    6.42712e+16
           27.2     3.0696e+17    5.16997e+14    6.41659e+16
           27.3    3.24932e+17     5.1859e+14    6.40607e+16
           27.4    3.43918e+17    5.20179e+14    6.39555e+16
           27.5    3.63973e+17    5.21764e+14    6.38504e+16
           27.6    3.85154e+17    5.23345e+14    6.37454e+16
           27.7    4.07522e+17    5.24922e+14    6.36404e+16
           27.8    4.31141e+17    5.26495e+14    6.35355e+16
           27.9     4.5608e+17    5.28064e+14    6.34307e+16
             28    4.82407e+17     5.2963e+14    6.33259e+16
