Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H5CH2-1+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            160    2.72601e+35     4.6572e+10    1.14862e+12
          160.5    2.97077e+35    4.67813e+10    1.14667e+12
            161    3.23685e+35    4.69907e+10    1.14473e+12
          161.5    3.52605e+35    4.72001e+10    1.14279e+12
            162    3.84033e+35    4.74097e+10    1.14087e+12
          162.5    4.18178e+35    4.76193e+10    1.13895e+12
            163    4.55269e+35    4.78289e+10    1.13703e+12
          163.5    4.95552e+35    4.80387e+10    1.13513e+12
            164    5.39293e+35    4.82485e+10    1.13323e+12
          164.5     5.8678e+35    4.84584e+10    1.13134e+12
            165    6.38325e+35    4.86683e+10    1.12946e+12
          165.5    6.94264e+35    4.88783e+10    1.12758e+12
            166    7.54959e+35    4.90884e+10    1.12571e+12
          166.5    8.20803e+35    4.92985e+10    1.12385e+12
            167     8.9222e+35    4.95086e+10    1.12199e+12
          167.5    9.69667e+35    4.97189e+10    1.12015e+12
            168    1.05364e+36    4.99292e+10    1.11831e+12
          168.5    1.14466e+36    5.01395e+10    1.11647e+12
            169    1.24332e+36    5.03499e+10    1.11465e+12
          169.5    1.35023e+36    5.05604e+10    1.11283e+12
            170    1.46606e+36    5.07709e+10    1.11101e+12
          170.5    1.59153e+36    5.09815e+10    1.10921e+12
            171    1.72743e+36    5.11921e+10    1.10741e+12
          171.5    1.87459e+36    5.14027e+10    1.10562e+12
            172    2.03391e+36    5.16134e+10    1.10383e+12
          172.5    2.20637e+36    5.18242e+10    1.10205e+12
            173    2.39303e+36     5.2035e+10    1.10028e+12
          173.5    2.59501e+36    5.22458e+10    1.09851e+12
            174    2.81354e+36    5.24567e+10    1.09675e+12
          174.5    3.04992e+36    5.26676e+10      1.095e+12
            175    3.30559e+36    5.28786e+10    1.09326e+12
          175.5    3.58205e+36    5.30896e+10    1.09152e+12
            176    3.88095e+36    5.33007e+10    1.08978e+12
          176.5    4.20407e+36    5.35118e+10    1.08806e+12
            177    4.55329e+36    5.37229e+10    1.08633e+12
          177.5    4.93067e+36    5.39341e+10    1.08462e+12
            178    5.33841e+36    5.41453e+10    1.08291e+12
          178.5    5.77888e+36    5.43565e+10    1.08121e+12
            179    6.25462e+36    5.45678e+10    1.07951e+12
          179.5    6.76838e+36    5.47791e+10    1.07782e+12
            180     7.3231e+36    5.49904e+10    1.07614e+12
          180.5    7.92195e+36    5.52018e+10    1.07446e+12
            181    8.56833e+36    5.54131e+10    1.07279e+12
          181.5    9.26591e+36    5.56246e+10    1.07112e+12
            182    1.00186e+37     5.5836e+10    1.06946e+12
          182.5    1.08307e+37    5.60475e+10    1.06781e+12
            183    1.17066e+37     5.6259e+10    1.06616e+12
          183.5    1.26514e+37    5.64705e+10    1.06452e+12
            184    1.36701e+37    5.66821e+10    1.06288e+12
          184.5    1.47685e+37    5.68936e+10    1.06125e+12
            185    1.59525e+37    5.71052e+10    1.05963e+12
          185.5    1.72287e+37    5.73169e+10    1.05801e+12
            186     1.8604e+37    5.75285e+10     1.0564e+12
          186.5    2.00859e+37    5.77402e+10    1.05479e+12
            187    2.16824e+37    5.79518e+10    1.05319e+12
          187.5    2.34021e+37    5.81635e+10    1.05159e+12
            188    2.52541e+37    5.83752e+10       1.05e+12
          188.5    2.72485e+37     5.8587e+10    1.04841e+12
            189    2.93958e+37    5.87987e+10    1.04683e+12
          189.5    3.17074e+37    5.90105e+10    1.04526e+12
            190    3.41954e+37    5.92223e+10    1.04369e+12
          190.5     3.6873e+37     5.9434e+10    1.04213e+12
            191    3.97541e+37    5.96458e+10    1.04057e+12
          191.5    4.28538e+37    5.98577e+10    1.03902e+12
            192    4.61882e+37    6.00695e+10    1.03747e+12
          192.5    4.97744e+37    6.02813e+10    1.03593e+12
            193     5.3631e+37    6.04932e+10    1.03439e+12
          193.5    5.77777e+37     6.0705e+10    1.03286e+12
            194    6.22357e+37    6.09169e+10    1.03133e+12
          194.5    6.70277e+37    6.11287e+10    1.02981e+12
            195    7.21779e+37    6.13406e+10    1.02829e+12
          195.5    7.77124e+37    6.15525e+10    1.02678e+12
            196    8.36589e+37    6.17644e+10    1.02527e+12
          196.5    9.00472e+37    6.19762e+10    1.02377e+12
            197    9.69092e+37    6.21881e+10    1.02228e+12
          197.5    1.04279e+38       6.24e+10    1.02079e+12
            198    1.12193e+38    6.26119e+10     1.0193e+12
          198.5     1.2069e+38    6.28238e+10    1.01782e+12
            199    1.29812e+38    6.30357e+10    1.01634e+12
          199.5    1.39603e+38    6.32476e+10    1.01487e+12
            200    1.50112e+38    6.34595e+10    1.01341e+12
          200.5    1.61389e+38    6.36714e+10    1.01194e+12
            201    1.73488e+38    6.38833e+10    1.01049e+12
          201.5    1.86468e+38    6.40952e+10    1.00903e+12
            202    2.00392e+38     6.4307e+10    1.00759e+12
          202.5    2.15324e+38    6.45189e+10    1.00614e+12
            203    2.31338e+38    6.47308e+10    1.00471e+12
          203.5    2.48508e+38    6.49427e+10    1.00327e+12
            204    2.66915e+38    6.51545e+10    1.00185e+12
          204.5    2.86646e+38    6.53664e+10    1.00042e+12
            205    3.07794e+38    6.55782e+10    9.99003e+11
          205.5    3.30457e+38    6.57901e+10    9.97588e+11
            206    3.54741e+38    6.60019e+10    9.96178e+11
          206.5    3.80757e+38    6.62137e+10    9.94773e+11
            207    4.08626e+38    6.64255e+10    9.93372e+11
          207.5    4.38477e+38    6.66373e+10    9.91975e+11
            208    4.70445e+38    6.68491e+10    9.90583e+11
          208.5    5.04676e+38    6.70609e+10    9.89196e+11
            209    5.41327e+38    6.72727e+10    9.87813e+11
          209.5    5.80562e+38    6.74844e+10    9.86434e+11
            210     6.2256e+38    6.76962e+10     9.8506e+11
          210.5    6.67508e+38    6.79079e+10     9.8369e+11
            211    7.15607e+38    6.81196e+10    9.82325e+11
          211.5    7.67073e+38    6.83313e+10    9.80963e+11
            212    8.22133e+38     6.8543e+10    9.79606e+11
          212.5    8.81032e+38    6.87546e+10    9.78254e+11
            213     9.4403e+38    6.89663e+10    9.76905e+11
          213.5     1.0114e+39    6.91779e+10    9.75561e+11
            214    1.08344e+39    6.93895e+10    9.74221e+11
          214.5    1.16047e+39    6.96011e+10    9.72885e+11
            215    1.24281e+39    6.98127e+10    9.71554e+11
          215.5    1.33083e+39    7.00242e+10    9.70226e+11
            216    1.42491e+39    7.02358e+10    9.68903e+11
          216.5    1.52544e+39    7.04473e+10    9.67584e+11
            217    1.63287e+39    7.06588e+10    9.66269e+11
          217.5    1.74764e+39    7.08702e+10    9.64958e+11
            218    1.87024e+39    7.10817e+10    9.63651e+11
          218.5     2.0012e+39    7.12931e+10    9.62348e+11
            219    2.14107e+39    7.15045e+10    9.61049e+11
          219.5    2.29043e+39    7.17159e+10    9.59754e+11
            220    2.44992e+39    7.19272e+10    9.58463e+11
          220.5    2.62019e+39    7.21385e+10    9.57176e+11
            221    2.80195e+39    7.23498e+10    9.55893e+11
          221.5    2.99597e+39    7.25611e+10    9.54613e+11
            222    3.20303e+39    7.27724e+10    9.53338e+11
          222.5    3.42399e+39    7.29836e+10    9.52067e+11
            223    3.65976e+39    7.31948e+10    9.50799e+11
          223.5     3.9113e+39     7.3406e+10    9.49535e+11
            224    4.17963e+39    7.36171e+10    9.48275e+11
          224.5    4.46585e+39    7.38282e+10    9.47019e+11
            225     4.7711e+39    7.40393e+10    9.45767e+11
          225.5    5.09662e+39    7.42503e+10    9.44518e+11
            226    5.44372e+39    7.44614e+10    9.43273e+11
          226.5    5.81378e+39    7.46723e+10    9.42032e+11
            227    6.20828e+39    7.48833e+10    9.40795e+11
          227.5    6.62878e+39    7.50942e+10    9.39561e+11
            228    7.07695e+39    7.53051e+10    9.38331e+11
          228.5    7.55455e+39     7.5516e+10    9.37104e+11
            229    8.06347e+39    7.57268e+10    9.35882e+11
          229.5    8.60569e+39    7.59376e+10    9.34663e+11
            230    9.18333e+39    7.61484e+10    9.33447e+11
          230.5    9.79863e+39    7.63591e+10    9.32235e+11
            231     1.0454e+40    7.65698e+10    9.31027e+11
          231.5    1.11519e+40    7.67805e+10    9.29822e+11
            232    1.18951e+40    7.69911e+10     9.2862e+11
          232.5    1.26865e+40    7.72017e+10    9.27423e+11
            233    1.35289e+40    7.74122e+10    9.26228e+11
          233.5    1.44257e+40    7.76228e+10    9.25038e+11
            234    1.53803e+40    7.78332e+10     9.2385e+11
          234.5    1.63962e+40    7.80437e+10    9.22666e+11
            235    1.74774e+40    7.82541e+10    9.21486e+11
          235.5    1.86278e+40    7.84645e+10    9.20309e+11
            236    1.98517e+40    7.86748e+10    9.19135e+11
          236.5    2.11538e+40    7.88851e+10    9.17965e+11
            237    2.25388e+40    7.90953e+10    9.16798e+11
          237.5     2.4012e+40    7.93056e+10    9.15635e+11
            238    2.55787e+40    7.95157e+10    9.14475e+11
          238.5    2.72447e+40    7.97259e+10    9.13318e+11
            239    2.90162e+40     7.9936e+10    9.12164e+11
