Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H4CH3+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            115    8.64438e+33    2.04596e+08    6.98054e+09
          115.5    9.67511e+33    2.05205e+08    6.94409e+09
            116     1.0825e+34    2.05811e+08    6.90795e+09
          116.5    1.21073e+34    2.06414e+08    6.87212e+09
            117    1.35368e+34    2.07014e+08    6.83659e+09
          117.5    1.51299e+34    2.07612e+08    6.80137e+09
            118    1.69048e+34    2.08206e+08    6.76643e+09
          118.5    1.88816e+34    2.08798e+08     6.7318e+09
            119    2.10824e+34    2.09387e+08    6.69745e+09
          119.5    2.35318e+34    2.09974e+08    6.66338e+09
            120    2.62572e+34    2.10557e+08     6.6296e+09
          120.5    2.92885e+34    2.11138e+08     6.5961e+09
            121    3.26592e+34    2.11716e+08    6.56287e+09
          121.5    3.64059e+34    2.12291e+08    6.52992e+09
            122    4.05693e+34    2.12864e+08    6.49723e+09
          122.5    4.51944e+34    2.13434e+08    6.46481e+09
            123    5.03307e+34    2.14001e+08    6.43266e+09
          123.5    5.60329e+34    2.14566e+08    6.40076e+09
            124    6.23616e+34    2.15128e+08    6.36913e+09
          124.5    6.93834e+34    2.15687e+08    6.33774e+09
            125    7.71719e+34    2.16244e+08    6.30661e+09
          125.5    8.58081e+34    2.16798e+08    6.27573e+09
            126    9.53814e+34    2.17349e+08    6.24509e+09
          126.5    1.05991e+35    2.17898e+08    6.21469e+09
            127    1.17744e+35    2.18444e+08    6.18454e+09
          127.5    1.30761e+35    2.18988e+08    6.15462e+09
            128    1.45174e+35    2.19529e+08    6.12494e+09
          128.5    1.61128e+35    2.20068e+08    6.09549e+09
            129    1.78782e+35    2.20604e+08    6.06627e+09
          129.5    1.98312e+35    2.21137e+08    6.03727e+09
            130    2.19911e+35    2.21668e+08    6.00851e+09
          130.5    2.43792e+35    2.22197e+08    5.97996e+09
            131    2.70188e+35    2.22723e+08    5.95163e+09
          131.5    2.99356e+35    2.23246e+08    5.92352e+09
            132    3.31578e+35    2.23768e+08    5.89563e+09
          132.5    3.67164e+35    2.24286e+08    5.86795e+09
            133    4.06455e+35    2.24802e+08    5.84048e+09
          133.5    4.49824e+35    2.25316e+08    5.81322e+09
            134    4.97682e+35    2.25828e+08    5.78616e+09
          134.5     5.5048e+35    2.26337e+08    5.75931e+09
            135     6.0871e+35    2.26843e+08    5.73266e+09
          135.5    6.72917e+35    2.27348e+08     5.7062e+09
            136    7.43693e+35    2.27849e+08    5.67995e+09
          136.5     8.2169e+35    2.28349e+08    5.65389e+09
            137    9.07624e+35    2.28846e+08    5.62802e+09
          137.5    1.00228e+36    2.29341e+08    5.60235e+09
            138     1.1065e+36    2.29834e+08    5.57686e+09
          138.5    1.22125e+36    2.30324e+08    5.55157e+09
            139    1.34754e+36    2.30812e+08    5.52645e+09
          139.5     1.4865e+36    2.31297e+08    5.50152e+09
            140    1.63936e+36    2.31781e+08    5.47677e+09
          140.5    1.80748e+36    2.32262e+08    5.45221e+09
            141    1.99232e+36    2.32741e+08    5.42782e+09
          141.5     2.1955e+36    2.33217e+08     5.4036e+09
            142    2.41879e+36    2.33692e+08    5.37956e+09
          142.5    2.66412e+36    2.34164e+08    5.35569e+09
            143    2.93358e+36    2.34634e+08      5.332e+09
          143.5     3.2295e+36    2.35101e+08    5.30847e+09
            144    3.55438e+36    2.35567e+08    5.28511e+09
          144.5    3.91098e+36     2.3603e+08    5.26191e+09
            145    4.30229e+36    2.36492e+08    5.23888e+09
          145.5     4.7316e+36    2.36951e+08    5.21601e+09
            146    5.20249e+36    2.37408e+08     5.1933e+09
          146.5    5.71884e+36    2.37862e+08    5.17076e+09
            147    6.28494e+36    2.38315e+08    5.14836e+09
          147.5    6.90542e+36    2.38766e+08    5.12613e+09
            148    7.58534e+36    2.39214e+08    5.10405e+09
          148.5    8.33024e+36     2.3966e+08    5.08212e+09
            149    9.14614e+36    2.40105e+08    5.06034e+09
          149.5    1.00396e+37    2.40547e+08    5.03872e+09
            150    1.10177e+37    2.40987e+08    5.01724e+09
          150.5    1.20884e+37    2.41425e+08    4.99591e+09
            151      1.326e+37    2.41861e+08    4.97473e+09
          151.5    1.45419e+37    2.42295e+08    4.95369e+09
            152    1.59441e+37    2.42727e+08    4.93279e+09
          152.5    1.74774e+37    2.43157e+08    4.91203e+09
            153    1.91539e+37    2.43585e+08    4.89142e+09
          153.5    2.09865e+37    2.44011e+08    4.87094e+09
            154    2.29893e+37    2.44434e+08     4.8506e+09
          154.5    2.51777e+37    2.44856e+08     4.8304e+09
            155    2.75682e+37    2.45276e+08    4.81033e+09
          155.5     3.0179e+37    2.45694e+08     4.7904e+09
            156    3.30299e+37    2.46111e+08     4.7706e+09
          156.5    3.61422e+37    2.46525e+08    4.75093e+09
            157    3.95392e+37    2.46937e+08    4.73139e+09
          157.5    4.32462e+37    2.47347e+08    4.71198e+09
            158    4.72906e+37    2.47756e+08     4.6927e+09
          158.5    5.17021e+37    2.48162e+08    4.67354e+09
            159    5.65131e+37    2.48567e+08    4.65451e+09
          159.5    6.17588e+37    2.48969e+08     4.6356e+09
            160    6.74772e+37     2.4937e+08    4.61682e+09
          160.5    7.37096e+37    2.49769e+08    4.59815e+09
            161     8.0501e+37    2.50166e+08    4.57961e+09
          161.5    8.78998e+37    2.50562e+08    4.56119e+09
            162    9.59588e+37    2.50955e+08    4.54289e+09
          162.5    1.04735e+38    2.51347e+08     4.5247e+09
            163    1.14291e+38    2.51736e+08    4.50664e+09
          163.5    1.24693e+38    2.52124e+08    4.48868e+09
            164    1.36015e+38    2.52511e+08    4.47084e+09
          164.5    1.48335e+38    2.52895e+08    4.45312e+09
            165    1.61738e+38    2.53278e+08    4.43551e+09
          165.5    1.76317e+38    2.53658e+08      4.418e+09
            166    1.92172e+38    2.54037e+08    4.40061e+09
          166.5    2.09411e+38    2.54415e+08    4.38333e+09
            167    2.28153e+38     2.5479e+08    4.36616e+09
          167.5    2.48522e+38    2.55164e+08    4.34909e+09
            168    2.70658e+38    2.55536e+08    4.33213e+09
          168.5    2.94709e+38    2.55906e+08    4.31528e+09
            169    3.20834e+38    2.56275e+08    4.29853e+09
          169.5    3.49209e+38    2.56642e+08    4.28189e+09
            170    3.80021e+38    2.57007e+08    4.26535e+09
          170.5    4.13472e+38     2.5737e+08    4.24891e+09
            171    4.49783e+38    2.57732e+08    4.23257e+09
          171.5    4.89191e+38    2.58092e+08    4.21633e+09
            172    5.31952e+38    2.58451e+08    4.20019e+09
          172.5    5.78343e+38    2.58808e+08    4.18415e+09
            173    6.28663e+38    2.59163e+08    4.16821e+09
          173.5    6.83235e+38    2.59516e+08    4.15237e+09
            174    7.42407e+38    2.59868e+08    4.13662e+09
          174.5    8.06557e+38    2.60218e+08    4.12096e+09
            175     8.7609e+38    2.60567e+08    4.10541e+09
          175.5    9.51445e+38    2.60914e+08    4.08994e+09
            176    1.03309e+39    2.61259e+08    4.07457e+09
          176.5    1.12155e+39    2.61603e+08    4.05929e+09
            177    1.21736e+39    2.61945e+08     4.0441e+09
          177.5    1.32112e+39    2.62286e+08      4.029e+09
            178    1.43347e+39    2.62625e+08    4.01399e+09
          178.5     1.5551e+39    2.62962e+08    3.99907e+09
            179    1.68676e+39    2.63298e+08    3.98424e+09
          179.5    1.82924e+39    2.63632e+08     3.9695e+09
            180    1.98341e+39    2.63965e+08    3.95484e+09
          180.5     2.1502e+39    2.64296e+08    3.94027e+09
            181    2.33061e+39    2.64626e+08    3.92579e+09
          181.5    2.52573e+39    2.64954e+08    3.91139e+09
            182    2.73672e+39    2.65281e+08    3.89707e+09
          182.5    2.96482e+39    2.65606e+08    3.88284e+09
            183     3.2114e+39     2.6593e+08    3.86869e+09
          183.5    3.47789e+39    2.66252e+08    3.85462e+09
            184    3.76587e+39    2.66572e+08    3.84064e+09
          184.5    4.07701e+39    2.66892e+08    3.82673e+09
            185    4.41312e+39    2.67209e+08     3.8129e+09
          185.5    4.77614e+39    2.67525e+08    3.79916e+09
