! This thermodynamic database was obtained by fitting the thermodynamic properties
! extracted from the following file: C3Mech.THERM
! The thermodynamic properties are fitted in order to preserve not only the 
! continuity of each function at the intermediate temperature, but also the  continuity
! of the derivatives, from the 1st to the 3rd order
! The intermediate temperatures are chosen in order to minimize the fitting error.
! Last update: 7/18/2025

THERMO ALL
270.   1000.   3500. 
HE                      HE  1               G    200.00   3500.00 1800.00      1
 8.57314372e+00 5.78166313e-03-2.27539052e-06 4.35832322e-10-3.34483478e-14    2
 4.41459503e+03-1.73505746e+01 2.92541701e+00 2.07425286e-02-1.71371774e-05    3
 6.99732763e-09-1.11978863e-12 6.12020850e+03 1.22239248e+01                   4
CH2OH                   H   3O   1C   1     G    200.00   3500.00 1800.00      1
 6.00367330e+00 4.50387141e-03-1.23509032e-06 1.16912223e-10-7.21369228e-17    2
-4.47742849e+03-7.06603803e+00 2.95525422e+00 1.12781360e-02-6.88031084e-06    3
 2.20773464e-09-2.90464139e-13-3.37999762e+03 9.43264195e+00                   4
HCOH                    H   2O   1C   1     G    300.00   3500.00 1310.00      1
 7.27358044e+00 4.88821908e-03-2.77381417e-06 6.98595751e-10-6.57942620e-14    2
 8.65219676e+03-1.65734962e+01-2.80845142e+00 3.56730492e-02-3.80236196e-05    3
 1.86374280e-08-3.48923554e-12 1.12936891e+04 3.47889017e+01                   4
CH3OH                   H   4O   1C   1     G    200.00   3500.00  700.00      1
 4.01321297e-01 1.71660882e-02-8.81636190e-06 2.20994501e-09-2.16474972e-13    2
-2.49464426e+04 2.20031902e+01 4.40978430e+00-5.73941461e-03 4.02668585e-05    3
-4.45359792e-08 1.64784980e-11-2.55076274e+04 4.09439165e+00                   4
CH3OOCH3                H   6C   2O   2     G    298.00   3500.00 1530.00      1
 3.83029020e+00 2.59133259e-02-1.29824870e-05 3.14963360e-09-3.00907992e-13    2
-1.70566196e+04 6.97622641e+00 2.03551433e+00 3.06055504e-02-1.75827071e-05    3
 5.15408681e-09-6.28433026e-13-1.65074182e+04 1.63982428e+01                   4
HOCHO                   H   2O   2C   1     G    200.00   3500.00 1800.00      1
 3.79473661e+00 8.42765725e-03-3.84722250e-06 8.63389842e-10-7.73674422e-14    2
-4.73118221e+04 5.12933885e+00 1.85206266e+00 1.27447105e-02-7.44476686e-06    3
 2.19581368e-09-2.62426309e-13-4.66124595e+04 1.56434956e+01                   4
HOCH2O                  H   3O   2C   1     G    300.00   3500.00  860.00      1
 2.23694109e+00 1.53867566e-02-7.93179876e-06 1.96180305e-09-1.87605241e-13    2
-2.24608346e+04 1.63822652e+01 4.40022466e+00 5.32497254e-03 9.61782462e-06    3
-1.16425562e-08 3.76715034e-12-2.28329193e+04 6.27194511e+00                   4
OCH2O2H                 H   3O   3C   1     G    300.00   3500.00 1530.00      1
 1.21498278e+01 5.64194346e-03-2.44498379e-06 4.96945912e-10-3.95539539e-14    2
-1.77739524e+04-3.41251383e+01 4.67155753e-01 3.61848770e-02-3.23890363e-05    3
 1.35444633e-08-2.17150124e-12-1.41990547e+04 2.72052647e+01                   4
HOCH2O2                 H   3O   3C   1     G    300.00   3500.00 1800.00      1
 1.18952162e+01 5.55302930e-03-2.08391048e-06 3.69231874e-10-2.61563831e-14    2
-2.55464218e+04-3.23377745e+01 2.52903658e+00 2.63667618e-02-1.94286876e-05    3
